point real,point imag,potential real,potential imag
5.990212e-03,5.026385e-03,2.821840e+03,-1.610553e+04
1.980726e-02,1.662026e-02,2.417407e+02,-1.472991e+03
4.075975e-02,3.420149e-02,4.336312e+01,-3.477032e+02
6.786620e-02,5.694650e-02,4.202648e+00,-1.250579e+02
9.985882e-02,8.379150e-02,-7.599956e+00,-5.705908e+01
1.352416e-01,1.134812e-01,-1.206375e+01,-2.996797e+01
1.723600e-01,1.446272e-01,-1.390568e+01,-1.684061e+01
2.094784e-01,1.757733e-01,-1.456932e+01,-9.376183e+00
2.448612e-01,2.054629e-01,-1.459574e+01,-4.564778e+00
2.768538e-01,2.323079e-01,-1.424990e+01,-1.210488e+00
3.039603e-01,2.550529e-01,-1.371778e+01,1.183333e+00
3.249127e-01,2.726342e-01,-1.316352e+01,2.832406e+00
3.387298e-01,2.842280e-01,-1.273095e+01,3.840514e+00
3.447200e-01,2.892544e-01,-1.252696e+01,4.259632e+00
3.507102e-01,2.942808e-01,-1.231305e+01,4.668326e+00
3.645273e-01,3.058747e-01,-1.178198e+01,5.572325e+00
3.854797e-01,3.234559e-01,-1.087726e+01,6.842252e+00
4.125862e-01,3.462009e-01,-9.532977e+00,8.302955e+00
4.445788e-01,3.730459e-01,-7.707067e+00,9.744838e+00
4.799616e-01,4.027356e-01,-5.419229e+00,1.094044e+01
5.170800e-01,4.338816e-01,-2.781946e+00,1.167850e+01
5.541984e-01,4.650277e-01,-3.819053e-03,1.181868e+01
5.895812e-01,4.947173e-01,2.650433e+00,1.134639e+01
6.215738e-01,5.215623e-01,4.934582e+00,1.039334e+01
6.486803e-01,5.443074e-01,6.693453e+00,9.203609e+00
6.696327e-01,5.618886e-01,7.892140e+00,8.059769e+00
6.834498e-01,5.734825e-01,8.587684e+00,7.208243e+00
6.894400e-01,5.785088e-01,8.862942e+00,6.817117e+00
6.954302e-01,5.835352e-01,9.121260e+00,6.413623e+00
7.092473e-01,5.951291e-01,9.648743e+00,5.439632e+00
7.301997e-01,6.127103e-01,1.025216e+01,3.865666e+00
7.573062e-01,6.354553e-01,1.064842e+01,1.712703e+00
7.892988e-01,6.623004e-01,1.051688e+01,-8.750868e-01
8.246816e-01,6.919900e-01,9.601548e+00,-3.592568e+00
8.618000e-01,7.231361e-01,7.833385e+00,-6.016281e+00
8.989184e-01,7.542821e-01,5.401675e+00,-7.739621e+00
9.343012e-01,7.839718e-01,2.706594e+00,-8.540612e+00
9.662938e-01,8.108168e-01,1.992237e-01,-8.475941e+00
9.934003e-01,8.335618e-01,-1.794533e+00,-7.836979e+00
1.014353e+00,8.511430e-01,-3.156792e+00,-7.006826e+00
1.028170e+00,8.627369e-01,-3.936980e+00,-6.319382e+00
1.034160e+00,8.677633e-01,-4.241284e+00,-5.991099e+00
1.040150e+00,8.727897e-01,-4.523442e+00,-5.646419e+00
1.053967e+00,8.843835e-01,-5.084400e+00,-4.796797e+00
1.074920e+00,9.019648e-01,-5.677419e+00,-3.399553e+00
1.102026e+00,9.247098e-01,-5.953208e+00,-1.505078e+00
1.134019e+00,9.515548e-01,-5.563302e+00,6.434007e-01
1.169402e+00,9.812444e-01,-4.333007e+00,2.603289e+00
1.206520e+00,1.012390e+00,-2.408527e+00,3.880448e+00
1.243638e+00,1.043537e+00,-2.407347e-01,4.176231e+00
1.279021e+00,1.073226e+00,1.633091e+00,3.555741e+00
1.311014e+00,1.100071e+00,2.865055e+00,2.392752e+00
1.338120e+00,1.122816e+00,3.424870e+00,1.141066e+00
1.359073e+00,1.140397e+00,3.520337e+00,1.242271e-01
1.372890e+00,1.151991e+00,3.424556e+00,-5.245289e-01
1.378880e+00,1.157018e+00,3.345893e+00,-7.932993e-01
1.384870e+00,1.162044e+00,3.245989e+00,-1.051959e+00
1.398687e+00,1.173638e+00,2.940513e+00,-1.601046e+00
