real,imag
1.156397e+02,-6.592860e+02
1.135963e+02,-6.476981e+02
1.115702e+02,-6.362080e+02
1.095620e+02,-6.248186e+02
1.075721e+02,-6.135323e+02
1.056009e+02,-6.023513e+02
1.036485e+02,-5.912754e+02
1.017150e+02,-5.803077e+02
9.980052e+01,-5.694477e+02
9.790513e+01,-5.586956e+02
9.602873e+01,-5.480513e+02
9.417128e+01,-5.375146e+02
9.410726e+01,-5.337088e+02
9.233274e+01,-5.270850e+02
9.051301e+01,-5.167622e+02
8.871202e+01,-5.065458e+02
8.692976e+01,-4.964356e+02
8.516618e+01,-4.864313e+02
8.342128e+01,-4.765328e+02
8.169504e+01,-4.667401e+02
7.998749e+01,-4.570532e+02
7.829861e+01,-4.474722e+02
7.662845e+01,-4.379972e+02
7.497703e+01,-4.286283e+02
7.334438e+01,-4.193656e+02
7.173055e+01,-4.102095e+02
7.013562e+01,-4.011603e+02
6.855984e+01,-3.922189e+02
6.700482e+01,-3.833900e+02
6.625059e+01,-3.759228e+02
6.611828e+01,-3.749754e+02
6.547875e+01,-3.745606e+02
6.462434e+01,-3.665035e+02
6.394054e+01,-3.660060e+02
6.243989e+01,-3.574944e+02
6.095797e+01,-3.490860e+02
5.949486e+01,-3.407836e+02
5.805064e+01,-3.325879e+02
5.662536e+01,-3.244994e+02
5.521909e+01,-3.165183e+02
5.383187e+01,-3.086450e+02
5.246378e+01,-3.008797e+02
5.111489e+01,-2.932229e+02
4.978532e+01,-2.856751e+02
4.901330e+01,-2.779682e+02
4.847519e+01,-2.782370e+02
4.718475e+01,-2.709095e+02
4.591433e+01,-2.636944e+02
4.466462e+01,-2.565944e+02
4.343721e+01,-2.496157e+02
4.223736e+01,-2.427765e+02
4.109785e+01,-2.361664e+02
4.051069e+01,-2.310519e+02
3.983276e+01,-2.283048e+02
3.865606e+01,-2.223786e+02
3.779179e+01,-2.143279e+02
3.753207e+01,-2.160496e+02
3.711308e+01,-2.104787e+02
3.642683e+01,-2.097771e+02
3.534285e+01,-2.036119e+02
3.428284e+01,-1.975730e+02
3.325040e+01,-1.916783e+02
3.225154e+01,-1.859538e+02
3.129711e+01,-1.804452e+02
3.040399e+01,-1.752292e+02
3.004504e+01,-1.706183e+02
3.003109e+01,-1.703148e+02
2.960487e+01,-1.703271e+02
2.876173e+01,-1.657388e+02
2.791864e+01,-1.610761e+02
2.705379e+01,-1.562706e+02
2.618971e+01,-1.514111e+02
2.533867e+01,-1.465861e+02
2.516277e+01,-1.427052e+02
2.450661e+01,-1.418466e+02
2.443986e+01,-1.386053e+02
2.411768e+01,-1.367782e+02
2.369598e+01,-1.372182e+02
2.290647e+01,-1.327083e+02
2.213560e+01,-1.283103e+02
2.138017e+01,-1.240094e+02
2.063804e+01,-1.197907e+02
2.027797e+01,-1.150021e+02
1.990904e+01,-1.156473e+02
1.919474e+01,-1.115815e+02
1.850075e+01,-1.076088e+02
1.801280e+01,-1.039165e+02
1.798881e+01,-1.030798e+02
1.724033e+01,-9.777592e+01
1.712605e+01,-9.976716e+01
1.709626e+01,-9.695772e+01
1.694102e+01,-9.607728e+01
1.647154e+01,-9.606101e+01
1.583524e+01,-9.242866e+01
1.521671e+01,-8.888746e+01
1.461767e+01,-8.544792e+01
1.460922e+01,-8.285302e+01
1.404386e+01,-8.212882e+01
1.351360e+01,-7.898217e+01
1.308353e+01,-7.617745e+01
1.273231e+01,-7.392478e+01
1.262827e+01,-7.161850e+01
1.255664e+01,-7.121223e+01
1.244517e+01,-7.058006e+01
1.225057e+01,-7.157197e+01
1.174267e+01,-6.886355e+01
