real,imag
2.224503e+04,-3.852949e+04
2.224486e+04,-3.852915e+04
2.224454e+04,-3.852856e+04
2.224409e+04,-3.852773e+04
2.224352e+04,-3.852668e+04
2.224285e+04,-3.852544e+04
2.224212e+04,-3.852406e+04
2.224136e+04,-3.852259e+04
2.224057e+04,-3.852111e+04
2.223971e+04,-3.851970e+04
2.223878e+04,-3.851831e+04
2.223785e+04,-3.851693e+04
2.223701e+04,-3.851561e+04
2.223630e+04,-3.851441e+04
2.223572e+04,-3.851338e+04
2.223526e+04,-3.851257e+04
2.223491e+04,-3.851196e+04
2.223467e+04,-3.851157e+04
2.223234e+04,-3.851630e+04
1.703576e+04,-2.950680e+04
1.344276e+04,-2.331470e+04
6.459740e+03,-1.118860e+04
5.701600e+03,-9.875424e+03
5.701389e+03,-9.875013e+03
5.701008e+03,-9.874301e+03
5.700470e+03,-9.873309e+03
5.699793e+03,-9.872061e+03
5.699002e+03,-9.870596e+03
5.698125e+03,-9.868970e+03
5.697181e+03,-9.867257e+03
5.696155e+03,-9.865530e+03
5.695031e+03,-9.863807e+03
5.693853e+03,-9.862084e+03
5.692692e+03,-9.860380e+03
5.691640e+03,-9.858710e+03
5.690829e+03,-9.857166e+03
5.690227e+03,-9.855901e+03
5.689747e+03,-9.854935e+03
5.689362e+03,-9.854241e+03
5.689094e+03,-9.853794e+03
5.688787e+03,-9.859695e+03
4.369909e+03,-7.568904e+03
2.648265e+03,-4.586890e+03
2.647964e+03,-4.586308e+03
2.647430e+03,-4.585312e+03
2.646678e+03,-4.583932e+03
2.645728e+03,-4.582207e+03
2.644606e+03,-4.580197e+03
2.643334e+03,-4.577981e+03
2.641912e+03,-4.575642e+03
2.640336e+03,-4.573241e+03
2.638631e+03,-4.570836e+03
2.636842e+03,-4.568562e+03
2.635326e+03,-4.566746e+03
2.634547e+03,-4.564684e+03
2.633634e+03,-4.562409e+03
2.632728e+03,-4.560412e+03
2.631950e+03,-4.558762e+03
2.631310e+03,-4.557491e+03
2.630785e+03,-4.556582e+03
2.630414e+03,-4.555992e+03
2.440860e+03,-4.258719e+03
2.032630e+03,-3.520618e+03
1.675383e+03,-2.901848e+03
1.597475e+03,-2.766867e+03
1.596942e+03,-2.765864e+03
1.596018e+03,-2.764173e+03
1.594719e+03,-2.761842e+03
1.593071e+03,-2.758938e+03
1.591103e+03,-2.755553e+03
1.588843e+03,-2.751805e+03
1.587390e+03,-2.749441e+03
1.586323e+03,-2.747816e+03
1.583619e+03,-2.743704e+03
1.580900e+03,-2.739560e+03
1.578364e+03,-2.735370e+03
1.576028e+03,-2.731086e+03
1.573815e+03,-2.726849e+03
1.571754e+03,-2.722886e+03
1.569919e+03,-2.719369e+03
1.568359e+03,-2.716418e+03
1.567077e+03,-2.714098e+03
1.566077e+03,-2.712412e+03
1.565413e+03,-2.711345e+03
1.230582e+03,-2.131430e+03
1.143145e+03,-1.979981e+03
1.142114e+03,-1.978220e+03
1.140331e+03,-1.975270e+03
1.137796e+03,-1.971238e+03
1.134545e+03,-1.966286e+03
1.130734e+03,-1.960629e+03
1.126717e+03,-1.954307e+03
1.122632e+03,-1.947005e+03
1.118211e+03,-1.938687e+03
1.113372e+03,-1.929677e+03
1.108216e+03,-1.920296e+03
1.102881e+03,-1.910808e+03
1.097502e+03,-1.901431e+03
1.092228e+03,-1.892353e+03
1.087225e+03,-1.883767e+03
1.082685e+03,-1.875923e+03
1.078820e+03,-1.869141e+03
1.075857e+03,-1.863804e+03
1.073994e+03,-1.860328e+03
1.058648e+03,-1.851363e+03
9.228432e+02,-1.598390e+03
9.212749e+02,-1.595617e+03
9.185132e+02,-1.590764e+03
9.145861e+02,-1.583920e+03
9.096064e+02,-1.575326e+03
9.037241e+02,-1.565275e+03
8.971026e+02,-1.554056e+03
8.899064e+02,-1.541921e+03
8.822918e+02,-1.529063e+03
8.743881e+02,-1.515607e+03
8.662781e+02,-1.501640e+03
8.580034e+02,-1.487251e+03
8.495964e+02,-1.472563e+03
8.411072e+02,-1.457718e+03
8.326090e+02,-1.442868e+03
8.241986e+02,-1.428177e+03
8.160146e+02,-1.413878e+03
