real,imag
2.224503e+04,-3.852949e+04
2.224486e+04,-3.852916e+04
2.224455e+04,-3.852857e+04
2.224410e+04,-3.852774e+04
2.224354e+04,-3.852671e+04
2.224288e+04,-3.852549e+04
2.224216e+04,-3.852414e+04
2.224137e+04,-3.852272e+04
2.224052e+04,-3.852129e+04
2.223958e+04,-3.851986e+04
2.223860e+04,-3.851842e+04
2.223764e+04,-3.851698e+04
2.223681e+04,-3.851558e+04
2.223617e+04,-3.851433e+04
2.223566e+04,-3.851331e+04
2.223525e+04,-3.851253e+04
2.223490e+04,-3.851195e+04
2.223467e+04,-3.851157e+04
2.223442e+04,-3.851714e+04
1.703576e+04,-2.950680e+04
1.344525e+04,-2.331471e+04
6.459740e+03,-1.118860e+04
5.701602e+03,-9.875426e+03
5.701393e+03,-9.875020e+03
5.701017e+03,-9.874314e+03
5.700483e+03,-9.873332e+03
5.699812e+03,-9.872100e+03
5.699024e+03,-9.870661e+03
5.698139e+03,-9.869072e+03
5.697161e+03,-9.867402e+03
5.696077e+03,-9.865695e+03
5.694896e+03,-9.863969e+03
5.693647e+03,-9.862244e+03
5.692290e+03,-9.860465e+03
5.691401e+03,-9.858489e+03
5.691059e+03,-9.860689e+03
5.690762e+03,-9.856996e+03
5.690217e+03,-9.855804e+03
5.689756e+03,-9.854893e+03
5.689368e+03,-9.854231e+03
5.689095e+03,-9.853792e+03
4.369909e+03,-7.568904e+03
2.648267e+03,-4.586894e+03
2.647969e+03,-4.586318e+03
2.647438e+03,-4.585333e+03
2.646688e+03,-4.583969e+03
2.645740e+03,-4.582268e+03
2.644615e+03,-4.580290e+03
2.643328e+03,-4.578112e+03
2.641879e+03,-4.575810e+03
2.640277e+03,-4.573452e+03
2.638576e+03,-4.571137e+03
2.636985e+03,-4.569032e+03
2.635856e+03,-4.566909e+03
2.634825e+03,-4.564554e+03
2.633779e+03,-4.562322e+03
2.632829e+03,-4.560366e+03
2.632024e+03,-4.558750e+03
2.631350e+03,-4.557501e+03
2.630796e+03,-4.556592e+03
2.630415e+03,-4.555994e+03
2.443354e+03,-4.258729e+03
2.032630e+03,-3.520618e+03
1.675383e+03,-2.901848e+03
1.597476e+03,-2.766871e+03
1.596945e+03,-2.765879e+03
1.596023e+03,-2.764204e+03
1.594727e+03,-2.761895e+03
1.593082e+03,-2.759018e+03
