param1,param2,l,real,imag,type,abserr,relerr
-18.0,3.0,1,2.105480e-02,-2.448109e-03,resonance,2.547391e-12,1.201790e-10
-15.5,3.0,1,3.345028e-01,-1.890438e-01,resonance,3.398356e-12,8.844679e-12
