point real,point imag,potential real,potential imag
2.721208e+00,1.571090e+00,5.063666e-02,-8.771106e-02
2.727980e+00,1.575000e+00,5.038628e-02,-8.727574e-02
2.734752e+00,1.578910e+00,5.013774e-02,-8.684377e-02
2.750372e+00,1.587928e+00,4.957135e-02,-8.585990e-02
2.774060e+00,1.601604e+00,4.873022e-02,-8.440027e-02
2.804704e+00,1.619297e+00,4.767251e-02,-8.256722e-02
2.840872e+00,1.640178e+00,4.646665e-02,-8.047964e-02
2.880873e+00,1.663273e+00,4.518469e-02,-7.826114e-02
2.922836e+00,1.687500e+00,4.389589e-02,-7.603024e-02
2.964799e+00,1.711727e+00,4.266176e-02,-7.389299e-02
3.004799e+00,1.734822e+00,4.153345e-02,-7.193845e-02
3.040968e+00,1.755703e+00,4.055145e-02,-7.023730e-02
3.071612e+00,1.773396e+00,3.974644e-02,-6.884281e-02
3.095299e+00,1.787072e+00,3.914049e-02,-6.779321e-02
3.110919e+00,1.796090e+00,3.874843e-02,-6.711414e-02
3.117691e+00,1.800000e+00,3.858028e-02,-6.682290e-02
3.124463e+00,1.803910e+00,3.841323e-02,-6.653356e-02
3.140084e+00,1.812928e+00,3.803200e-02,-6.587328e-02
3.163771e+00,1.826604e+00,3.746464e-02,-6.489061e-02
3.194415e+00,1.844297e+00,3.674927e-02,-6.365159e-02
3.230583e+00,1.865178e+00,3.593100e-02,-6.223434e-02
3.270584e+00,1.888273e+00,3.505747e-02,-6.072133e-02
3.312547e+00,1.912500e+00,3.417489e-02,-5.919264e-02
3.354510e+00,1.936727e+00,3.332522e-02,-5.772098e-02
3.394511e+00,1.959822e+00,3.254444e-02,-5.636863e-02
3.430679e+00,1.980703e+00,3.186186e-02,-5.518635e-02
3.461323e+00,1.998396e+00,3.130019e-02,-5.421351e-02
3.485010e+00,2.012072e+00,3.087615e-02,-5.347906e-02
3.500631e+00,2.021090e+00,3.060121e-02,-5.300286e-02
3.507403e+00,2.025000e+00,3.048316e-02,-5.279838e-02
3.514175e+00,2.028910e+00,3.036579e-02,-5.259508e-02
3.529795e+00,2.037928e+00,3.009762e-02,-5.213062e-02
3.553482e+00,2.051604e+00,2.969771e-02,-5.143794e-02
3.584127e+00,2.069297e+00,2.919205e-02,-5.056211e-02
3.620295e+00,2.090178e+00,2.861168e-02,-4.955689e-02
3.660296e+00,2.113273e+00,2.798974e-02,-4.847966e-02
3.702259e+00,2.137500e+00,2.735885e-02,-4.738691e-02
3.744222e+00,2.161727e+00,2.674904e-02,-4.633070e-02
3.784222e+00,2.184822e+00,2.618653e-02,-4.535640e-02
3.820391e+00,2.205703e+00,2.569306e-02,-4.450168e-02
3.851035e+00,2.223396e+00,2.528578e-02,-4.379626e-02
3.874722e+00,2.237072e+00,2.497757e-02,-4.326242e-02
