real,imag
7.727872e+03,-4.379773e+04
7.725668e+03,-4.381409e+04
7.725581e+03,-4.381370e+04
7.725258e+03,-4.381300e+04
7.724857e+03,-4.381127e+04
7.724845e+03,-4.381234e+04
7.724717e+03,-4.380979e+04
7.724529e+03,-4.380813e+04
7.724330e+03,-4.380635e+04
7.724117e+03,-4.380448e+04
7.723885e+03,-4.380259e+04
7.723618e+03,-4.380077e+04
7.723304e+03,-4.379903e+04
7.722997e+03,-4.379744e+04
7.722760e+03,-4.379608e+04
7.722543e+03,-4.379505e+04
7.722261e+03,-4.379430e+04
7.722054e+03,-4.379377e+04
7.714603e+03,-4.380076e+04
5.916456e+03,-3.355389e+04
4.659371e+03,-2.651250e+04
2.243444e+03,-1.272320e+04
1.980221e+03,-1.122991e+04
1.980108e+03,-1.122950e+04
1.979804e+03,-1.122873e+04
1.979665e+03,-1.121104e+04
1.979508e+03,-1.122772e+04
1.979316e+03,-1.122632e+04
1.979099e+03,-1.122458e+04
1.978864e+03,-1.122260e+04
1.978634e+03,-1.122046e+04
1.978406e+03,-1.121823e+04
1.978181e+03,-1.121598e+04
1.977930e+03,-1.121378e+04
1.977555e+03,-1.121160e+04
1.977032e+03,-1.120966e+04
1.976670e+03,-1.120807e+04
1.976398e+03,-1.120686e+04
1.976084e+03,-1.120597e+04
1.975844e+03,-1.120535e+04
1.969404e+03,-1.121455e+04
1.517653e+03,-8.607040e+03
9.198428e+02,-5.216027e+03
9.197250e+02,-5.215474e+03
9.194029e+02,-5.214396e+03
9.190507e+02,-5.212849e+03
9.187231e+02,-5.210820e+03
9.183947e+02,-5.208373e+03
9.180813e+02,-5.205636e+03
9.177864e+02,-5.202754e+03
9.173836e+02,-5.199852e+03
9.167604e+02,-5.196854e+03
9.161249e+02,-5.193725e+03
9.156301e+02,-5.190722e+03
9.152701e+02,-5.188087e+03
9.150013e+02,-5.186035e+03
9.146413e+02,-5.184390e+03
9.142873e+02,-5.182901e+03
9.139054e+02,-5.181735e+03
9.135913e+02,-5.180928e+03
9.097256e+02,-5.196437e+03
8.384545e+02,-4.842846e+03
7.059249e+02,-4.003499e+03
5.818544e+02,-3.299860e+03
5.548972e+02,-3.146378e+03
5.547627e+02,-3.145340e+03
5.543463e+02,-3.143493e+03
5.538122e+02,-3.140820e+03
5.532528e+02,-3.137377e+03
5.526776e+02,-3.133319e+03
5.520272e+02,-3.128898e+03
5.512949e+02,-3.126549e+03
5.510573e+02,-3.124253e+03
5.495371e+02,-3.119285e+03
5.472818e+02,-3.106239e+03
5.471758e+02,-3.111859e+03
5.468505e+02,-3.114828e+03
5.467688e+02,-3.101004e+03
5.461326e+02,-3.096305e+03
5.454987e+02,-3.092352e+03
5.449655e+02,-3.089190e+03
5.445690e+02,-3.086593e+03
5.441549e+02,-3.084584e+03
5.437433e+02,-3.083270e+03
4.273765e+02,-2.423773e+03
3.970400e+02,-2.251571e+03
3.966645e+02,-2.249612e+03
3.959220e+02,-2.246255e+03
3.948534e+02,-2.241548e+03
3.934038e+02,-2.235700e+03
3.914362e+02,-2.229189e+03
3.896717e+02,-2.222554e+03
3.888636e+02,-2.214545e+03
3.879253e+02,-2.204926e+03
3.866702e+02,-2.194469e+03
3.851406e+02,-2.183634e+03
3.833157e+02,-2.172759e+03
3.812348e+02,-2.162119e+03
3.791268e+02,-2.151943e+03
3.772983e+02,-2.142346e+03
3.758150e+02,-2.133424e+03
3.745721e+02,-2.125581e+03
3.735887e+02,-2.119418e+03
3.729745e+02,-2.115465e+03
3.620616e+02,-2.105155e+03
3.204976e+02,-1.817626e+03
3.199632e+02,-1.814493e+03
3.190470e+02,-1.809012e+03
