real,imag
2.224504e+04,-3.852949e+04
2.224487e+04,-3.852916e+04
2.224456e+04,-3.852858e+04
2.224411e+04,-3.852777e+04
2.224356e+04,-3.852675e+04
2.224290e+04,-3.852556e+04
2.224217e+04,-3.852425e+04
2.224134e+04,-3.852287e+04
2.224042e+04,-3.852146e+04
2.223942e+04,-3.852002e+04
2.223833e+04,-3.851855e+04
2.223732e+04,-3.851687e+04
2.223668e+04,-3.851540e+04
2.223657e+04,-3.851820e+04
2.223613e+04,-3.851420e+04
2.223567e+04,-3.851324e+04
2.223526e+04,-3.851251e+04
2.223491e+04,-3.851195e+04
2.223467e+04,-3.851157e+04
1.703576e+04,-2.950680e+04
1.344775e+04,-2.331471e+04
6.459740e+03,-1.118860e+04
5.701605e+03,-9.875430e+03
5.701399e+03,-9.875029e+03
5.701025e+03,-9.874333e+03
5.700496e+03,-9.873364e+03
5.699828e+03,-9.872154e+03
5.699037e+03,-9.870745e+03
5.698135e+03,-9.869196e+03
5.697120e+03,-9.867561e+03
5.695987e+03,-9.865880e+03
5.694747e+03,-9.864201e+03
5.693391e+03,-9.862721e+03
5.692670e+03,-9.861641e+03
5.692170e+03,-9.859907e+03
5.691469e+03,-9.858286e+03
5.690819e+03,-9.856896e+03
5.690263e+03,-9.855761e+03
5.689781e+03,-9.854885e+03
5.689374e+03,-9.854232e+03
5.689096e+03,-9.853793e+03
4.369909e+03,-7.568904e+03
2.648269e+03,-4.586899e+03
2.647973e+03,-4.586332e+03
2.647445e+03,-4.585361e+03
2.646699e+03,-4.584016e+03
2.645751e+03,-4.582341e+03
2.644621e+03,-4.580399e+03
2.643320e+03,-4.578261e+03
2.641857e+03,-4.576002e+03
2.640266e+03,-4.573705e+03
2.638675e+03,-4.571472e+03
2.637324e+03,-4.569262e+03
2.636154e+03,-4.566888e+03
2.634998e+03,-4.564504e+03
2.633900e+03,-4.562298e+03
2.632923e+03,-4.560370e+03
2.632087e+03,-4.558776e+03
2.631375e+03,-4.557530e+03
2.630800e+03,-4.556605e+03
2.630415e+03,-4.555997e+03
2.445847e+03,-4.258739e+03
2.032630e+03,-3.520618e+03
1.675383e+03,-2.901848e+03
1.597477e+03,-2.766877e+03
1.596948e+03,-2.765897e+03
1.596029e+03,-2.764239e+03
1.594737e+03,-2.761954e+03
1.593095e+03,-2.759108e+03
1.591135e+03,-2.755792e+03
1.588891e+03,-2.752116e+03
1.587390e+03,-2.749441e+03
1.586420e+03,-2.748187e+03
1.583827e+03,-2.744096e+03
1.581250e+03,-2.739879e+03
1.578768e+03,-2.735541e+03
1.576380e+03,-2.731163e+03
1.574102e+03,-2.726916e+03
1.571991e+03,-2.722976e+03
1.570104e+03,-2.719486e+03
