real,imag
7.725683e+03,-4.381412e+04
7.725575e+03,-4.381377e+04
7.725539e+03,-4.379846e+04
7.725318e+03,-4.381314e+04
7.725085e+03,-4.381231e+04
7.724935e+03,-4.381115e+04
7.724757e+03,-4.380970e+04
7.724563e+03,-4.380806e+04
7.724373e+03,-4.380629e+04
7.724181e+03,-4.380444e+04
7.723984e+03,-4.380257e+04
7.723754e+03,-4.380075e+04
7.723424e+03,-4.379896e+04
7.723023e+03,-4.379736e+04
7.722738e+03,-4.379604e+04
7.722513e+03,-4.379502e+04
7.722250e+03,-4.379428e+04
7.722052e+03,-4.379377e+04
7.716670e+03,-4.380217e+04
5.916456e+03,-3.355389e+04
4.661871e+03,-2.651251e+04
2.243444e+03,-1.272320e+04
1.980234e+03,-1.122993e+04
1.980118e+03,-1.122954e+04
1.979864e+03,-1.122878e+04
1.979608e+03,-1.122771e+04
1.979389e+03,-1.122628e+04
1.979161e+03,-1.122454e+04
1.978934e+03,-1.122258e+04
1.978725e+03,-1.122049e+04
1.978518e+03,-1.121835e+04
1.978252e+03,-1.121624e+04
1.977900e+03,-1.121415e+04
1.977595e+03,-1.121212e+04
1.977532e+03,-1.121043e+04
1.977124e+03,-1.120932e+04
1.976652e+03,-1.120797e+04
1.976367e+03,-1.120681e+04
1.976071e+03,-1.120594e+04
1.975841e+03,-1.120535e+04
1.971458e+03,-1.121604e+04
1.517653e+03,-8.607040e+03
9.198395e+02,-5.216036e+03
9.197281e+02,-5.215484e+03
9.194318e+02,-5.214409e+03
9.190989e+02,-5.212857e+03
9.187771e+02,-5.210836e+03
9.184567e+02,-5.208424e+03
9.181439e+02,-5.205766e+03
9.177608e+02,-5.203010e+03
9.171348e+02,-5.200111e+03
9.163957e+02,-5.196905e+03
9.158775e+02,-5.193630e+03
9.154781e+02,-5.190636e+03
9.151293e+02,-5.188023e+03
9.148364e+02,-5.185944e+03
9.145214e+02,-5.184298e+03
9.142166e+02,-5.182846e+03
9.138781e+02,-5.181704e+03
9.135864e+02,-5.180921e+03
9.116807e+02,-5.197854e+03
8.409517e+02,-4.842857e+03
7.059249e+02,-4.003499e+03
5.818544e+02,-3.299860e+03
5.548860e+02,-3.146384e+03
5.547478e+02,-3.145344e+03
5.543501e+02,-3.143503e+03
5.538334e+02,-3.140851e+03
5.532814e+02,-3.137452e+03
